Time,No,Text
201306,54830,"[C]Klopfendes Geräusch bei Fahrbahnunebenheiten
[R]Stabistange ern.
[T]Stabistange vo. li.  Gelenk ausgeschlagen
[C]Klopfendes Geräusch bei Fahrbahnunebenheiten
[R]Stabistange ern.
[T]Stabistange vo. li.  Gelenk ausgeschlagen
"
201305,54830,"[C]Knackgeräusche von vorn
[R]Stabistrebe vorn links erneuert
[T]Stabistrebe vorn links ausgeschlagen, vermutlich Materialfehler
[C]Knackgeräusche von vorn
[R]Stabistrebe vorn links erneuert
[T]Stabistrebe vorn links ausgeschlagen, vermutlich Materialfehler
"
201302,55300,"[C]Stoßdämpfer hinten rechts undicht
[R]Stoßdämpfer hinten rechts ersetzt
[T]Stoßdämpfer hinten rechts undicht, fehlerhafte Abdichtung
[L]N.Büker
[C]Stoßdämpfer hinten rechts undicht
[R]Stoßdämpfer hinten rechts ersetzt
[T]Stoßdämpfer hinten rechts undicht, fehlerhafte Abdichtung
[L]N.Büker
"
201308,54840,"[C]Bei Reparaturarbeiten festgestellt: Koppelstangen Vorderachse ausgeschlagen
[R]Koppelstangen Vorderachse ausgetauscht.
[T]Bei Reparaturarbeiten festgestellt: Koppelstangen Vorderachse ausgeschlagen
[C]Bei Reparaturarbeiten festgestellt: Koppelstangen Vorderachse ausgeschlagen
[R]Koppelstangen Vorderachse ausgetauscht.
[T]Bei Reparaturarbeiten festgestellt: Koppelstangen Vorderachse ausgeschlagen
"
201303,54840,"[C]Geräusche während der Fahrt.
[R]Koppelstangen ausgetauscht.
[T]Koppelstangen ausgeschlagen.
[C]Geräusche während der Fahrt.
[R]Koppelstangen ausgetauscht.
[T]Koppelstangen ausgeschlagen.
"
201301,54830,"[C]Tüv-Mängel:
Koppelstange vorne links Lagerung ausgeschlagen
[R]Koppelstange vorne links erneuert
[T]Koppelstange vorne links Lagerung ausgeschlagen
[C]Tüv-Mängel:
Koppelstange vorne links Lagerung ausgeschlagen
[R]Koppelstange vorne links erneuert
[T]Koppelstange vorne links Lagerung ausgeschlagen
"
201304,54830,"[C]Fahrzeug macht Geräusche
[R]Stabi vorn links erneuert
[T]Stabipendel vorn links klappert
[C]Fahrzeug macht Geräusche
[R]Stabi vorn links erneuert
[T]Stabipendel vorn links klappert
"
201305,54840,"[C]Vorderachse macht Klappergeräusche
[R]Stabigelenk vorn rechts gewechselt
[T]Vorderachse macht Klappergeräusche, Stabigelenk vorn rechts erhöhtes Spiel
[C]Vorderachse macht Klappergeräusche
[R]Stabigelenk vorn rechts gewechselt
[T]Vorderachse macht Klappergeräusche, Stabigelenk vorn rechts erhöhtes Spiel
"
201304,54840,"[C]kLAPPERGERÄUSCHE
[R]Lenker erneuert
[T]Lenker ausgeschlagen
[C]kLAPPERGERÄUSCHE
[R]Lenker erneuert
[T]Lenker ausgeschlagen
"
201302,54830,"[C]bei unebenen Straßenverhältnissen polterndes Geräusch vorn
[R]Pendelstütze erneuert
[T]Pendelstütze VL ausgeschlagen
[C]bei unebenen Straßenverhältnissen polterndes Geräusch vorn
[R]Pendelstütze erneuert
[T]Pendelstütze VL ausgeschlagen
"
201303,54840,"[C]Klackern vorne links prüfen
[R]Koppelstange vorne links erneuern
[T]Koppelstange vorne links ausgeschlagen
[C]Klackern vorne links prüfen
[R]Koppelstange vorne links erneuern
[T]Koppelstange vorne links ausgeschlagen
"
201305,54830,"[C]Bei Bodenunebenheiten Poltergeräusche vorne
[R]Koppelstange v.l. ersetzt
[T]Koppelstange v.l. ausgeschlagen
[L]Ru
[C]Bei Bodenunebenheiten Poltergeräusche vorne
[R]Koppelstange v.l. ersetzt
[T]Koppelstange v.l. ausgeschlagen
[L]Ru
"
201305,54840,"[C]Im Rahmen der Inspektion festgestellt, Stabilisatorgelenke vorne rechts und links ausgeschlagen
[R]Stabigelenke erneuert
[T]Stabilisatorgelenke ausgeschlagen
[C]Im Rahmen der Inspektion festgestellt, Stabilisatorgelenke vorne rechts und links ausgeschlagen
[R]Stabigelenke erneuert
[T]Stabilisatorgelenke ausgeschlagen
"
201302,54830,"[C]Im Rahmen der Inspektion festgestellt, Stabigelenke vorne rechts und links ausgeschlagen
[R]Stabigelenke erneuert
[T]Stabigelenke ausgeschlagen
[C]Im Rahmen der Inspektion festgestellt, Stabigelenke vorne rechts und links ausgeschlagen
[R]Stabigelenke erneuert
[T]Stabigelenke ausgeschlagen
"
201304,54840,"[C]Im Rahmen der Jahresinspektion festgestellt, Stabilisatorgelenk vorne rechts ausgeschlagen
[R]Stabilisatorgelenk erneuert
[T]Stabilisatorgelenk ausgeschlagen
[C]Im Rahmen der Jahresinspektion festgestellt, Stabilisatorgelenk vorne rechts ausgeschlagen
[R]Stabilisatorgelenk erneuert
[T]Stabilisatorgelenk ausgeschlagen
"
201304,54830,"[C]Klappergeräusch bei Unebenheiten
[R]Austausch Koppelstange vorn links
[T]Koppelstange vorn links Spiel im Gelenk
[C]Klappergeräusch bei Unebenheiten
[R]Austausch Koppelstange vorn links
[T]Koppelstange vorn links Spiel im Gelenk
"
201302,55300,"[C]TÜV Mangel Stoßdämpfer der HA undicht &#40;beide&#41;
[R]Stoßdämpfer der HA erneuert &#40;beide&#41;
[T]Stoßdämpfer hinten undicht &#40;beide&#41;
[C]TÜV Mangel Stoßdämpfer der HA undicht &#40;beide&#41;
[R]Stoßdämpfer der HA erneuert &#40;beide&#41;
[T]Stoßdämpfer hinten undicht &#40;beide&#41;
"
201303,54840,"[C]poltern von der HA bei leichten Unebenheiten
[R]Koppelstangen rechts + links VA erneuert
[T]Koppelstange VA rechts + links ausgeschlagen
[C]poltern von der HA bei leichten Unebenheiten
[R]Koppelstangen rechts + links VA erneuert
[T]Koppelstange VA rechts + links ausgeschlagen
"
201301,54830,"[C]Klappergeräusche bei unebener Straße von der Vorderachse
[R]Stabilisatorgestänge vorne links ern
[T]Stabilisatorgestänge vorne links ausgeschlagen
[C]Klappergeräusche bei unebener Straße von der Vorderachse
[R]Stabilisatorgestänge vorne links ern
[T]Stabilisatorgestänge vorne links ausgeschlagen
"
201302,54840,"[C]Geräusche von vorne rechts
[R]Stabilisator erneuert
[T]Stabilisator vorne rechts ausgeschlagen defekt
[C]Geräusche von vorne rechts
[R]Stabilisator erneuert
[T]Stabilisator vorne rechts ausgeschlagen defekt
"
201307,54830,"[C]Klappergeräusche von vorne
[R]Stabilisator erneuert
[T]Stabilisator vorne links ausgeschlagen
[C]Klappergeräusche von vorne
[R]Stabilisator erneuert
[T]Stabilisator vorne links ausgeschlagen
"
