c1,c2,distance
1,2,90
1,3,58.96376168
1,4,90
1,5,90
1,6,84.52650974
1,7,85.87411898
1,8,90
1,9,90
1,10,90
1,11,90
1,12,84.60638001
1,13,90
1,14,90
1,15,90
1,16,90
1,17,90
1,18,90
1,19,85.86297838
1,20,81.65443993
1,21,35.89500809
1,22,90
1,23,90
1,24,90
1,25,90
1,26,85.13204012
1,27,73.07266075
1,28,90
1,29,90
1,30,90
1,31,90
1,32,90
1,33,90
1,34,90
1,35,90
1,36,90
1,37,90
1,38,90
1,39,90
1,40,84.66611754
1,41,90
1,42,90
1,43,90
1,44,90
1,45,90
1,46,90
1,47,90
1,48,90
1,49,90
1,50,90
1,51,90
1,52,90
1,53,83.20660583
1,54,90
1,55,90
1,56,90
1,57,90
1,58,90
1,59,83.65679867
1,60,90
1,61,90
1,62,90
1,63,90
1,64,90
1,65,69.80302176
1,66,90
1,67,90
1,68,90
1,69,90
1,70,90
2,3,90
2,4,90
2,5,90
2,6,90
2,7,90
2,8,90
2,9,90
2,10,90
2,11,90
2,12,90
2,13,90
2,14,90
2,15,90
2,16,90
2,17,90
2,18,90
2,19,90
2,20,81.32904477
2,21,84.16883875
2,22,90
2,23,90
2,24,90
2,25,90
2,26,90
2,27,90
2,28,90
2,29,84.6708595
2,30,84.12367919
2,31,90
2,32,90
2,33,90
2,34,90
2,35,90
2,36,90
2,37,83.86839265
2,38,90
2,39,90
2,40,90
2,41,90
2,42,90
2,43,90
2,44,85.12417201
2,45,90
2,46,90
2,47,90
2,48,90
2,49,90
2,50,90
2,51,90
2,52,90
2,53,82.94240441
2,54,84.73562467
2,55,90
2,56,90
2,57,90
2,58,90
2,59,90
2,60,90
2,61,90
2,62,90
2,63,90
2,64,90
2,65,90
2,66,90
2,67,90
2,68,90
2,69,90
2,70,90
3,4,90
3,5,86.51724698
3,6,80.7743341
3,7,83.42179284
3,8,90
3,9,90
3,10,90
3,11,90
3,12,85.9348066
3,13,90
3,14,90
3,15,90
3,16,90
3,17,90
3,18,90
3,19,83.03539884
3,20,76.63791177
3,21,65.31257319
3,22,90
3,23,90
3,24,90
3,25,90
3,26,81.79981049
3,27,77.31518726
3,28,90
3,29,90
3,30,90
3,31,90
3,32,90
3,33,90
3,34,90
3,35,90
3,36,90
3,37,90
3,38,90
3,39,90
3,40,85.97977438
3,41,85.60854774
3,42,90
3,43,90
3,44,90
3,45,90
3,46,90
3,47,90
3,48,90
3,49,90
3,50,90
3,51,84.40104798
3,52,85.76976662
3,53,79.14368898
3,54,90
3,55,90
3,56,90
3,57,90
3,58,90
3,59,85.22027559
3,60,86.2927781
3,61,90
3,62,90
3,63,90
3,64,90
3,65,64.7989365
3,66,90
3,67,85.75162623
3,68,90
3,69,90
3,70,90
4,5,90
4,6,90
4,7,90
4,8,87.62096594
4,9,88.0463922
4,10,90
4,11,90
4,12,90
4,13,90
4,14,90
4,15,90
4,16,90
4,17,90
4,18,90
4,19,90
4,20,90
4,21,90
4,22,88.0463922
4,23,79.82220724
4,24,81.02503218
4,25,78.51580689
4,26,88.3108636
4,27,88.50172248
4,28,90
4,29,90
4,30,90
4,31,90
4,32,88.52771698
4,33,90
4,34,90
4,35,90
4,36,77.11569821
4,37,90
4,38,78.68432211
4,39,81.6875714
4,40,88.14958603
4,41,90
4,42,88.09045416
4,43,76.32906155
4,44,90
4,45,88.20579395
4,46,90
4,47,88.11403858
4,48,90
4,49,90
4,50,87.62620185
4,51,90
4,52,90
4,53,90
4,54,90
4,55,87.38874238
4,56,87.86285846
4,57,90
4,58,87.07181314
4,59,87.8005957
4,60,88.61111401
4,61,90
4,62,90
4,63,88.63486763
4,64,88.4773279
4,65,90
4,66,90
4,67,90
4,68,88.13430112
4,69,88.30324197
4,70,90
5,6,90
5,7,87.24891387
5,8,90
5,9,90
5,10,90
5,11,90
5,12,90
5,13,90
5,14,90
5,15,90
5,16,90
5,17,90
5,18,90
5,19,90
5,20,90
5,21,90
5,22,90
5,23,84.23605
5,24,90
5,25,90
5,26,90
5,27,90
5,28,90
5,29,90
5,30,90
5,31,90
5,32,90
5,33,90
5,34,90
5,35,90
5,36,90
5,37,90
5,38,90
5,39,90
5,40,90
5,41,86.50562333
5,42,83.27428795
5,43,90
5,44,90
5,45,90
5,46,90
5,47,90
5,48,90
5,49,90
5,50,90
5,51,85.54579247
5,52,86.6338215
5,53,90
5,54,90
5,55,90
5,56,82.46861781
5,57,90
5,58,90
5,59,90
5,60,90
5,61,90
5,62,90
5,63,90
5,64,90
5,65,86.2251623
5,66,90
5,67,86.61939611
5,68,90
5,69,90
5,70,90
6,7,90
6,8,90
6,9,90
6,10,90
6,11,90
6,12,90
6,13,90
6,14,90
6,15,90
6,16,90
6,17,90
6,18,90
6,19,81.92711089
6,20,81.90141615
6,21,85.56828888
6,22,90
6,23,90
6,24,90
6,25,90
6,26,80.49175666
6,27,86.2301713
6,28,90
6,29,90
6,30,79.26514826
6,31,90
6,32,90
6,33,90
6,34,90
6,35,90
6,36,90
6,37,90
6,38,90
6,39,90
6,40,85.34266778
6,41,90
6,42,90
6,43,90
6,44,90
6,45,90
6,46,90
6,47,90
6,48,90
6,49,90
6,50,90
6,51,90
6,52,90
6,53,83.40718598
6,54,90
6,55,90
6,56,90
6,57,90
6,58,90
6,59,84.46216182
6,60,85.70545573
6,61,90
6,62,90
6,63,90
6,64,90
6,65,79.99405601
6,66,90
6,67,90
6,68,78.7066933
6,69,90
6,70,90
7,8,90
7,9,90
7,10,90
7,11,90
7,12,86.78910417
7,13,90
7,14,90
7,15,90
7,16,90
7,17,90
7,18,90
7,19,90
7,20,71.75332216
7,21,86.65864802
7,22,90
7,23,90
7,24,90
7,25,90
7,26,90
7,27,87.15734521
7,28,90
7,29,90
7,30,90
7,31,90
7,32,90
7,33,90
7,34,90
7,35,90
7,36,90
7,37,90
7,38,90
7,39,82.03320008
7,40,90
7,41,86.53159145
7,42,90
7,43,90
7,44,90
7,45,81.04808094
7,46,90
7,47,90
7,48,90
7,49,90
7,50,90
7,51,85.57891891
7,52,86.65883472
7,53,85.95806619
7,54,90
7,55,90
7,56,90
7,57,90
7,58,90
7,59,90
7,60,90
7,61,90
7,62,90
7,63,90
7,64,90
7,65,82.86812157
7,66,90
7,67,86.64451677
7,68,90
7,69,90
7,70,90
8,9,88.36912211
8,10,90
8,11,90
8,12,90
8,13,90
8,14,90
8,15,90
8,16,90
8,17,90
8,18,90
8,19,90
8,20,90
8,21,90
8,22,88.36912211
8,23,88.63306628
8,24,90
8,25,88.45978984
8,26,88.58988275
8,27,88.74920299
8,28,90
8,29,90
8,30,90
8,31,90
8,32,88.77090234
8,33,90
8,34,90
8,35,90
8,36,79.2713538
8,37,90
8,38,88.48209878
8,39,90
8,40,88.4552593
8,41,90
8,42,88.405901
8,43,88.17155279
8,44,90
8,45,88.50217741
8,46,90
8,47,88.42558722
8,48,90
8,49,90
8,50,88.01840137
8,51,90
8,52,90
8,53,90
8,54,90
8,55,87.82021475
8,56,88.21592819
8,57,90
8,58,87.55571957
8,59,88.16395928
8,60,88.84051995
8,61,90
8,62,90
8,63,88.86034898
8,64,88.72883927
8,65,90
8,66,90
8,67,90
8,68,88.44250069
8,69,88.58352065
8,70,90
9,10,90
9,11,90
9,12,90
9,13,90
9,14,90
9,15,90
9,16,90
9,17,90
9,18,90
9,19,90
9,20,90
9,21,90
9,22,88.66069431
9,23,88.87743523
9,24,90
9,25,88.73514623
9,26,88.84197399
9,27,88.97280483
9,28,90
9,29,90
9,30,90
9,31,90
9,32,88.99062415
9,33,90
9,34,90
9,35,90
9,36,81.20597101
9,37,90
9,38,88.75346541
9,39,90
9,40,88.73142595
9,41,90
9,42,88.69089521
9,43,88.49846387
9,44,90
9,45,88.7699532
9,46,90
9,47,88.70706058
9,48,90
9,49,90
9,50,88.37271034
9,51,90
9,52,90
9,53,90
9,54,90
9,55,88.20998383
9,56,88.53490143
