site_group,docid,site_name,cate_site_name,cate_locale,crawl_date,title,content,url,cday
其他媒体,1760978994,365jia,main RSS,ZHO,2015-04-20 10:40:02.0,现代ix25领衔 四款合资小型SUV车型,东风悦达起亚近几年来一直在合资品牌中不断的巩固着自己的地位，东风悦达起亚热门车型推荐其推出的车型也是受到了广大消费者的认可。在各个级别的车型中都是拿出了自己的看家车型，像是K4、K3S等等。想了解合肥K4优惠的可详询合肥东风悦达起亚4s店。● 起亚K4◆ 合肥车市行情：优惠0.7万元◆ 来源：安徽安天迪凯起亚4s店(点击查看店铺具体信息)目前，安徽安天迪凯起亚K4最高优惠0.7万元，感兴趣的朋友可以到店咨询购买，具体优惠信息如下：			   车型  厂商指导价  优惠幅度  优惠价  库存情况    2014款 1.8L GL 手动  12.88万  ↓0.70万  12.18万  现车充足    2014款 1.8L GL 自动  13.88万  ↓0.70万  13.18万  现车充足    2014款 1.8L GLS 自动  14.88万  ↓0.70万  14.18万  现车充足    2014款 1.8L DLX 自动  15.88万  ↓0.70万  15.18万  现车充足    2014款 1.6L T-GDI Turbo 自动  16.98万  ↓0.70万  16.28万  现车充足    2014款 1.8L LUX 自动  17.08万  ↓0.70万  16.38万  现车充足    2014款 2.0L LUX 自动  17.58万  ↓0.70万  16.88万  现车充足    2014款 2.0L PRM 自动  18.88万  ↓0.70万  18.18万  现车充足    2014款 1.6L T-GDI PRM 自动  18.98万  ↓0.70万  18.28万  现车充足 			合肥起亚K4优惠编辑评车：虽然起亚K4和现代名图均采用索纳塔(市场价 配置 图片)8平台打造，但将其归为A+级轿车或许更加准确。相比于传统的中级车，起亚K4在乘坐空间、动力方面有赶超的趋势，同时在售价方面也更加经济实惠，不过想要将中级车市场抢占自己的领地并非易事，品牌、口碑、动力和设计的完善度等等都是准车主们关注的。,http://auto.365jia.cn/news/2015-04-20/372AC18157B4DCB2.html,2015-04-20
各大媒体,1760981654,12365auto,质量投诉,ZHO,2015-04-20 10:42:01.0,东风悦达起亚K3跑偏问题未解决,投诉编号：【92522】 投诉品牌： 东风悦达起亚 投诉车系： 起亚K3 投诉车型： 2013款 1.6L 手动 GLS 投诉时间： 2015-4-20 2:12:54    投诉内容： 我的车子从第一次在这里投诉以后，4S店开始认真处理我的问题了。但是始终无法查找最终的原因。售后经理李定军的服务态度是值得肯定的。但是最让人头疼的事情发生了。那就是找不到毛病的原因。从17000多公里开始查找原因查到23000公里都没查到原因。就试车以及修理工在路上边跑边调都耗了我两箱油（绝对属实，有多无少）最后我实在是耗不下去了，李经理说先发一套方向机总成，换上去试试。我出于用车需要以及怕麻烦接受了这个方案。但是换上以后扔不见效果。从此以后4S店便以各种理由，推脱！最搞笑的是，李经理说给我报100块钱油费叫我去成都4S店检查。但是去成都检查成都的4S店没检查出问题。从此以后4S店便以轻微跑偏属于正常的，为理由。说我车子没问题！说我是心理作用。到后面我车子在跑高速100码以上轻点刹车车身抖动。4S说是刹车盘的问题，需更换刹车盘。到现在我的车子直接是动车底盘就各种响动而且感觉快散架了样。那个方向感觉像是有股力在把车子往一边拖，直到前天晚上车子右边轴承开始一直出现钢珠卡起的声音。我现在实在不敢开了！喊4S店给厂家沟通一下给我换车，直接被拒绝。而且我以前在4S店出三包修车都被辰宇4S以没产生消费为由，均未给我出具任何记录和证明。就连换下来的配件都以他们要交给厂家出三包为由给收走。更过分的是，当我提出要求打维修记录和换件证明的时候，才发现我的维修记录被4S店擅自修改！而且被改的面目全非。我很清楚的记得我第一次因为方向跑偏去4S店修车是首保之前2050公里，并且当时是挂的临时牌照川M30804去的。当时修理工检查说没问题。是在我愿意自费的要求下，才上的四轮定位架检查！结果一上架子四个轮子的数据都不对。我在那里看那个师傅调了一个小时还没处理好，因为要上班，就先开朋友的车走了。随后4S店修好以后将车交给我朋友并告诉我朋友是技术上的问题，不影响。谁知现在被4S改成首保。并且最搞笑的是，现在我要求他们打维修记录。他们居然给我打出了三个不同内容的首保记录！我现在对这个4S店，一点信任度都没有了。现在我真的是维权也没法！想起诉4S，无奈维修记录又被修改。堵他售后服务部的门，又被警察要求挪开。难道在这个法制社会我就真的找不到一个为我维权的地方？工商所为我调解了两次都没结果！我想请问一下，广大的网友？我现在除了堵他4S店的门。我还有其它选择没有？如果我能选择，我真心的不想去堵门。可是我能有什么办法？上法院起诉，可以取证的材料又被4S修改的面目全非。从2000多公里就有点问题到现在都29000多公里了。一直没给我解决也就算了，反而毛病越修越多。现在我喊4S店把我车子的维修记录还原。辰宇飞亚以公司问题，当时经手的人都不在这里工作，无法查证为由，不给出个说法！我车子的问题，也只认修。不认换！我真是倒八辈子霉了。我在你那里买起亚车没有错吧？你出现的错误为什么转嫁到我身上？要是你修的好的话我都没那闲心找你闹，关键是你把我买的新车越修越烂，现在直接给我修的开都不敢开了。你让我该怎么咽的下这口气！   投诉回复： 中国汽车质量网已将您的投诉转给生产企业以及政府有关主管部门，我们将会对此投诉继续跟踪，请您持续关注！,http://www.12365auto.com/zlts/20150420/92522.shtml,2015-04-20
其他媒体,1761502467,hexun,滚动新闻 > 全部新闻,ZHO,2015-04-20 16:27:09.0,东风悦达起亚最强阵容 亮相2015上海车,"""　　当前位置：汽车探索首页>>企业>>企业动态　　东风悦达起亚最强阵容 亮相2015上海车展　　时间：2015年04月20日15:15类型：原创来源：汽车探索报道　　汽车探索讯4月20日2015年第十六届上海国际汽车工业展览会在国家会展中心（上海）隆重开幕。东风悦达起亚联合起亚汽车（中国）共携20款车型精彩亮相，最强阵容带来汽车饕餮盛宴。其中，东风悦达起亚旗舰车型第二代K5闪耀登场；SUV新成员KX3也精彩亮相。　　本次车展，展台沿用了起亚全球统一的家族“虎啸式”3D立体空间设计风格，将品牌特有的身份标识巧妙融于空间造型中，在彰显格调与品味的同时，更体现了强烈的品牌张力。主舞台上，东风悦达起亚第二代K5惊艳四方，盛装点亮整片展区。作为世界三大汽车设计师之一彼得・希瑞尔倾力打造的旗舰之作，第二代K5集简洁干练设计与时尚动感气息于一体，以空间、动力、安全和科技配置方面的全面突破，实现动感活力与高端尊贵的完美融合，驾驭未来。KX3同样青春夺目，凭借引领潮流的前瞻设计，以及超越期待的梦想配置，备受都市潮流消费人群青睐，上市不足一月达成销量近7000台，成为耀眼新星。此外，K5、K4、K3、K3S、新K2也联袂登台，全情演绎K系家族的卓越风姿；新狮跑、秀尔、新智跑、新福瑞迪等车型以及在进口车市场备受青睐的K9、全新索兰托L、凯尊、新佳乐、Grand VQ-R、霸锐、速迈等起亚品牌的全线产品，亦诠释出企业创造精彩汽车生活的愿景；而“Turbo Zone”展区以及K5混合动力车型的亮相，也为展台带来了更多看点。　　第二代K5焕新而来 旗舰之作驾驭未来　　第二代K5是东风悦达起亚为中国消费者倾力打造的全新旗舰车型，将于今年秋季正式上市。承袭“Design Kia”设计理念精髓，世界三大汽车设计师之一彼得・希瑞尔将对未来汽车的前瞻思考照进现实，赋予第二代K5既高端、时尚，又不失运动、犀利的独特魅力，领袖气质油然而生。第二代K5前脸造型设计运动干练，与细节的精致交相辉映，凸显自信与个性；侧面和背部以简洁流畅的线条和立体感十足的轮廓勾勒出动感、修长的体态，营造出优雅的运动气息；尾部造型同样简洁而不简单，兼容动感与宽大稳重，更显高端风范。　　设计之外，第二代K5以更胜一筹的宽适空间、更强的科技配置以及做工考究的高档内饰，尽显尊贵。第二代K5轴距达到2805mm，进一步提升了空间。1.6T-GDI+7速DCT双离合变速箱、2.0L+6速自动变速箱、2.0T-GDI+6速自动变速箱的黄金动力组合瞬间点燃驾驭激情，为都市生活更添一抹狂野自由。盲区监测系统(BSD)、车道偏离预警系统 (LDWS)、智能远光灯、智能泊车辅助系统、智能自适应巡航(SCC)远近光一体型氙气大灯带随动转向等最新科技配置的全面应用，在带来卓越安全性的同时，更打造礼宾级乘坐体验。　　第二代K5的重磅推出，是东风悦达起亚面向国内中高级轿车市场的又一次强势出击。K5作为东风悦达起亚首款K系列产品，凭借出色的产品设计和产品表现，不仅市场销量与口碑节节攀升，更树立了中高级车的全新标杆，成功推动了东风悦达起亚品牌形象的高端化和品牌力的提升。而本次第二代K5强势来袭，不仅为广大消费者带来了焕然一新的产品体验，更将进一步完善东风悦达起亚中高级轿车市场战略布局，为企业销量目标达成再添助力，同时实现品牌形象再上新台阶。　　“越你所想”KX3 “美”与“力”的天作之合　　新近上市的KX3作为东风悦达起亚重磅推出的SUV车型，瞄准时尚、活力、自信、热衷社交和挑战的都市潮流引领者，以“越你所想”的极致魅力引爆SUV市场，上市一月销量已近7000台。KX3突破简约直线设计美学，以流畅自如的线条语言，勾勒出时尚、动感的车身设计。两款双色外观车型在彰显个性的同时，也为消费者带来更多元的选择。同时，1.6L、2.0L、 1.6T三款强劲动力车型与全车系190mm离地间隙强强联合，带来无尽驾驶乐趣；基于C-NCAP五星标准打造，车身大幅使用超高张力钢板，配合丰富主被动安全配置，坐拥同级别最强安全保障；超越同侪的宽适空间与全景天窗完美融合，带来非凡舒适体验。一键启动、智能钥匙、UVO车载信息系统、方向盘加热、定速巡航等豪华、便捷的智能科技配置，全情装点新生代的精彩都市生活。本次展出的KX3车型还加装了最新扶手式车载空气净化器，有效改善车内空气质量，从容应对雾霾天气。该配置还在K5、K4、智跑车型上选装，为消费者打造更加清新、舒适、健康的驾乘环境。　　持续深耕 奏响发展最强音　　2015年，东风悦达起亚进入“顾客感动”第Ⅲ阶段，将坚持顾客至上，全面提升企业竞争力，推动企业可持续发展，为达成全年75万台销售目标而不懈努力。　　今年，东风悦达起亚将继续坚持品质经营，构建和强化以“产品质量”为核心的品质意识，通过引进起亚全球最新技术，强化本土化产品研发，推出更多具有竞争力新产品；同时，进一步深化服务意识，优化服务体系，围绕“关爱有""""家""""”服务理念开展一系列踏实有效的服务举措，让顾客真切体会到品牌价值所在。　　除此之外，企业还将通过多元化营销体系的构建和强化，进一步推动品牌力的发展。去年，东风悦达起亚通过开展世界杯特色营销、参加CTCC房车锦标赛、赞助斯坦科维奇杯篮球赛等体育营销活动，传递了激情、活力的品牌形象。举办经典电影交响音乐会以及韩流演唱会、植入热播电视剧等多种文化营销活动，不断丰富品牌内涵。今年企业将继2009年和2011年后再次赞助FIBA亚洲杯篮球比赛，并在文化营销领域不断探索与创新，实现企业品牌力的再升级。作为一家有责任感的车企，东风悦达起亚还将进一步开展“起亚家园”项目、希望小学援建工程、儿童交通安全教育活动以及地区环境保护等公益事业，以自身实际行动回馈社会，传递正能量，影响带动更多人积极参与公益活动，共同推进中国公益事业发展。　　今年一季度，东风悦达起亚销量达到16.1万台，为全年销量目标的圆满达成奠定了坚实基础。随着企业百万台产销体系的加速构建，东风悦达起亚还将在2017年冲击年销百万目标，成为中国乘用车行业名副其实的领军企业，为消费者创造更加精彩的汽车生活，为汽车市场的发展做出更大贡献。（责任编辑：HN666）""",http://auto.hexun.com/2015-04-20/175129839.html,2015-04-20
其他媒体,1762033912,xcar,论坛,ZHO,2015-04-20 22:17:02.0,2015年中国汽车界的最大笑话，起亚K9,2015上海车展已经正式拉开了帷幕，起亚旗舰车型起亚K9在本次车展上于国内正式上市，新车共推出4款车型，售价区间为55.80-75.88万元。起亚K9在北美地区命名为K900，与现代旗舰车型雅科仕是基于同一个平台打造，定位高于现代捷恩斯。新车长宽高分别为5095/1900/1490mm，轴距为3045mm，定位全尺寸豪华轿车。外观方面，起亚K9采用了家族式的虎啸式前进气格栅，配合犀利的全LED大灯，显得十分端庄、大气。整体来看，确实有豪华感。不过从上图这个角度看上去，是不是有种把K3活生生拉长的感觉。在内饰的设计上，有点跟不上“竞争对手”的档次。在配置部分，这款车将会配备Nappa高级真皮座椅、16方向电动调节的驾驶员座椅、17只扬声器的音响系统、车道偏移提示、盲点监测、智能巡航、全景摄像头等。动力方面，起亚K9采用前置后驱动力系统，新车搭载3.8L V6直喷发动机，匹配SBW电子换挡杆，最大功率可达246千瓦，最大扭矩为395.2牛・米。配备了电子控制空气悬架，能根据驾驶模式自动调整车身高度，保持最佳操控的稳定状态。           谁是sb?hehe,http://www.xcar.com.cn/bbs/viewthread.php?tid=21796260,2015-04-20
其他媒体,1876800830,zhidao_baidu,生活,ZHO,2015-06-28 04:44:01.0,东风悦达起亚k3可以用97号汽油吗,来自：手机知道生活东风悦达起亚k3可以用97号汽油吗,http://zhidao.baidu.com/question/554024688952656532.html?entry=qb_browse_default,2015-06-28
其他媒体,1877266393,wenwen_sogou,生活家居,ZHO,2015-06-28 14:47:12.0,现代朗动名图本田凌派，起亚K3K4，综合,现代朗动名图本田凌派，起亚K3K4，综合哪一款更好？各优缺点？？？,http://wenwen.sogou.com/z/q630086815.htm?ch=wtk.title,2015-06-28
其他媒体,1877303250,hexun,滚动新闻 > 全部新闻,ZHO,2015-06-28 15:21:01.0,2015款起亚K3最新报价优惠促销最新行,近期，编辑从东风悦达起亚北京4S店了解到，2015款K3现车销售，2015款K3依旧搭载1.6L γ和1.8L Nu两款发动机。其中，1.6L发动机最大功率为94Kw(128ps)/6300rpm，峰值扭矩为156Kw/4850rpm；颜色可选。售价方面，近期购车全系可优惠4万元，最低仅售6.28万元，另有装饰豪礼　　等你拿　　，近期有购车意愿的朋友可致电详询或到店选购。销售咨询电话：***-****-**** 张经理　　具体如下：车型(北京报价)指导价(万)4s店价格(万)价格变化(万)备注1.6L 手动GL2015款10.286.28↓4.00有现车1.6L 自动GL2015款11.287.28↓4.001.6L 手动GLS2015款11.487.48↓4.001.6L 自动GLS2015款12.488.48↓4.001.6L 自动DLX2015款13.189.18↓4.001.6L 自动Premium2015款14.3810.38↓4.001.8L 自动Premium2015款14.9810.98↓4.00　　东风悦达起亚K3车型介绍　　在外观上，2015款K3秉承“Design KIA”设计理念精髓，在车身前脸和尾部均有全新呈现。前脸，全新的前中网颜色，使得虎啸式家族脸谱视觉感受更为动感大气且引人注目。尾部，后保险杆采用全新纹路设计，搭配更加宽扁的排气管尾喉设计，传递出时尚动感的运动气息。此外，2015款K3新增珍珠白这一可选车身颜色，满足消费者多样化的色彩需求。　　内饰方面，2015款K3在中控面板等部位进行了软性涂装，并且在空调按钮处增加了镀铬装饰和旋钮形状的改善，质感升级带来细腻的触感，让驾驶者身心愉悦。为了提高座椅的舒适度，还单独为DLX车型高级皮座椅开发前排座椅加热及电动座椅配置，使驾乘成为一种贴心享受。　　2015款K3依旧搭载1.6L γ和1.8L Nu两款发动机。其中，1.6L发动机最大功率为94Kw(128ps)/6300rpm，峰值扭矩为156Kw/4850rpm；1.8L发动机最大功率为107Kw(146ps)/6500rpm，峰值扭矩为175Kw/4700rpm。在传动方面，匹配的分别是6MT或6AT自动变速箱。五星级诚信企业我们秉承“诚信经营，价格合理，双赢合作，服务第一”的服务理念北京润通嘉华汽车贸易有限公司全国销售热线：***-****-****销售经理：张耀地址：北京市昌平区北五环外立汤路迎各界朋友致电详询或到店选购，感谢您的关注！更多网站功能:汽车大全 汽车报价 汽车资讯网　　如系本站原创文章，转载请注明出处：汽车中国。　　更多汽车新闻关注 请扫码汽车中国公众微信号：（责任编辑：HN666）,http://auto.hexun.com/2015-06-28/177099955.html,2015-06-28
各大媒体,1877476710,zhev,评论,ZHO,2015-06-28 17:47:04.0,日韩A级轿车大降价，省油家轿该怎选？,距离汽车销售旺季(金九银十)还有一段时间，厂家也要开饭啊，所以就目前情况来看，很多车型都打起优惠价格。国内消费者不少人都对空间和燃油经济性有一定要求，今天茶哥（微信号：chezaocha）调查了一下日韩系A级轿车的市场情况，发现都在搞降价活动。下面，茶哥（微信号：chezaocha）就带大家看看哪些降价车型值得留意吧。一汽丰田卡罗拉指导价：10.78-15.98万元全国最低价：7.28-12.48万元全新一代卡罗拉外观设计更加动感，一改“前辈”中庸的设计风格。内饰也采用非对称设计，中控台上方使用了软质材料，中控面板还采用仿碳纤材质进行装扮，整体风格更加年轻化，但是面板和按键的塑料感较强，这也是这个级别日系车给人的普遍感觉。新款车型也在车身尺寸方面进行了加长，加长后其轴距达到了2700mm，给后排乘坐人员充足的腿部空间和头部空间。值得表扬的是，卡罗拉后排中间位置地板凸起很小，对中间位置乘客照顾得比较周到。茶哥（微信号：chezaocha）点评：均衡是卡罗拉的杀手锏，在储物空间、乘坐空间还有后备箱空间方面的表现都相当均衡。新一代卡罗拉在外观和内饰设计也更加趋向于年轻化，车型配置也丰富。对于那些操控要求不高，又想要开着舒适省心的消费者来说，是一个不错的选择。东风悦达起亚K3指导价：10.28-14.98万元全国最低价：7.50-13.98万元起亚K3与朗动出自同一个平台，只不过由于品牌影响力略显一筹，销量上相比朗动也有差距。它同样是以性价比和配置为卖点，配置上与朗动形成了差异的定位。相对来说，K3的外形比较犀利，内饰的科技感也比朗动更富有阳刚气质，更适合男性消费者。配置方面，K3两款Premium车型在配置上也要更胜一筹，包括氙气大灯、LED日行灯、座椅记忆和方向盘加热功能都是同级别少有的配置，K3除了两款Premium车型外两款自动挡也可以通过选装拥有座椅加热功能，给消费者提供了更广的选择面。茶哥（微信号：chezaocha）点评：对于大部分年轻消费者来说，K3在外形和内饰上比朗动更为吸引，起亚官方对K3的定位也确实是以运动为主。在配置上，同样是顶配车型，K3的LED日间行车灯和氙气大灯，以及多出的方向盘加热功能也是它比朗动更厚道的地方，如果你在这两款车之间纠结，所以茶哥更推荐K3。东风日产轩逸指导价：9.98-16.90万元全国最低价：6.98-13.60万元新轩逸的外形已经具有非常典型的家族特征了，更接近于现款的天籁。新款车并非是小改款而已，而是从发动机、变速箱、外观和内饰都发生了改变。全新HR16DE全铝直列四缸发动机，虽然和老款代号同为HR16DE，不过两款发动机并不一样，并且在最大功率比老款多了13KW，扭矩爆发值也提前了400转，起步也更加轻盈。茶哥有试驾过新轩逸，新发动机配合新的CVT变速箱后，新轩逸的起步比老款轩逸更加轻快和线性，不过没有想往常的日系车轻点就窜头的感觉。整车加速时，发动机会一直维持在1500转左右，随车速的而上升，由于CVT变速箱的特征，转速机会可以维持在较省油的转速区间。茶哥（微信号：chezaocha）点评：新轩逸是个标准的家庭范儿，不求动力、不求操控，只求舒适安稳，所以茶哥觉得1.6LCVT的动力是一个黄金组合，满足日常使用没有什么问题，性价比要比2.0LCVT车型高。	   标签 轿车,http://www.zhev.com.cn/news/show-1435479912.html,2015-06-28
其他社区,1877606776,yam,即時 > 宅趣,ZHO,2015-06-28 19:32:01.0,《漫畫喫茶化的連鎖咖哩店》進來就無法離開,圖片來自：http://ink361.com/app/users/ig-*********/photos是說這樣翻桌率不就超低了嗎wwww（淚笑）如果有注意到桌上那盤美味的咖哩，大家也會立刻發現這是台灣也有分店的連鎖咖哩店「COCO壹番屋」。每次在如夢突然想吃咖哩時，總是可以快速又便宜解決我「咖哩慾」的COCO壹番屋，被不少網友發現它正默默地在改變中。原本很一般的連鎖咖哩店，店內卻慢慢增加了漫畫的數量，甚至還有分店的漫畫是多到根本漫畫喫茶的狀態！於是也出現了不少一腳踏進店裡就好難離開的客人喔ww... 【文章內容不代表蕃薯藤立場，想看更多歡迎到>>>卡卡洛普－宅宅新聞】     蕃Plus+1+1     -->,http://n.yam.com/gamme/otaku/20150628/20150628118860.html,2015-06-28
其他媒体,1877759341,meizu,综合讨论区,ZHO,2015-06-28 21:38:01.0,魅京京《赶集》首发获奖名单公布【首批】,魅2班 银牌会员  分享到： -->   本帖最后由 魅2班 于 2015-06-28 20:37 编辑 感谢大家支持 “魅京京《赶集》” ，首发好评回馈活动名单如下。如果您是参与首发好评活动的魅友，可按ctrl+f 快速查找，看看是否能找到自己的名字呢活动奖池【免单】x50名 【返1元】x200 【幸运奖：游戏鼠标】x1根据目前评论数目首先公布名单获奖名单和150名的返1元券名单，为了公平起见，幸运奖将于所有名额满额的时候随剩余50名获奖者一起公布。“魅京京《赶集》”首发好评免单奖励名单1Leeqin_21刺猬669941夜未央丶心微凉2Sun_Cloudy22大豆腐没脑42用户********3yuyuqingyu23三少大师43双子艾瑞克4FENHI24马赛克都省了44用户********5yesemelo25你们手里还没卖完的咸鱼45石爱流水6俊俊to26William_Chow46吃兔子的罗卜7用户**********haohaoxiao204047用户********8苏暄末28zx潇48虞儿9bililimax29用户**********赞一个9210musicmylove30用户**********希悠11结识五年i31陶陶爱李李12阿喵62932水随云13王昊杰本尊33啾啾伦14噜兮34木秀于林pcs15萌萌哒丶o35lewislw16何必自找失落36Old斯基17机智的大囧夏子37特逗18摸摸口袋没有钱38_座右铭_19曹小球39用户********20田道帅40用户********“魅京京《赶集》”首发好评返1元奖励名单共200名（首批150名）1芮纸71能走就走我不强留141小保罗与海绵宝宝2土豆还是萝卜72妖泡泡丶142无非飘雨3真岛73天堂在左我在右143王紫琪4用户**********CChuangBiao144yys01225大葛格丶巴扎嘿75好萌的吖狸145木槿木栀6bz199476红玫王146大样的彼岸7用户**********xiao********my鱼8用户**********evonh148用户********9邪舞79天堂之翼丿149我是小狗狗10用户**********刘橙汁150绿房子菂11小松大叔81魅惑*_*15112用户**********魅紫vv152*************木木可乐15314Tank32184当我还有爱的存在15415用户**********南极地热15516xuminweiyi86M小飞15617金浩同学87巴黎雪人15718lm********偶尔冒个泡兒15819大热天吃西瓜89屁股有点大15920我是祥子90hscgor16021vivian997791弑血小胖16122WyzMax92kindygali16223wcdma100093用户***********24军用奶瓶94李玛德16425qq************孙相明165*************大约在冬季*******27小时小时97去你爸的淡定16728tiger丶98不知日月16829僅此而已灬99superuser58116930五道杠大爷100Rainbow*******31用户***********朱丶君17132猫牌耗子102SKTTIBL17233逝去的相思103张秋荷17334你好东晨104刺猬丶hw17435小鑫鑫*******追风随去17536清蒸蓝萝卜106糗大大17637MiffyYoung1077_McGrady17738c_ool_su_n108mia*******39黄豆大煎饼109帥大人17940挥精如吐110星际旅者18041撕袜猪和小木偶111共由金成18142优游zi112用户***********43菜菜嘻嘻113用户***********44jerrymillet114五月廿十九WEN18445满屋风舞云115隐忍成神18546胖Zz116玫瑰中的一根刺18647瓜爺爺117RH虹18748o***********用户***********49天青色等烟雨*******用户***********50七月初把心温热120未成年三好19051用户***********西瓜女郎19152揸兜酱油帝122大仙杨19253為一人心_123青青小馒头19354陌小亮丶124侠客斗斗飞19455饭坚强*******用户***********56瑶仔126用户***********57霸气涛涛127爱吃土豆更爱你19758灬QSheng128用户***********59小样奇葩吧你129王珏大大19960亟灵星雨130啊_星20061用户***********跑赢兔的龟62用户***********我的天啊草吖63jitoo133用户********64DominicDink134我和幸福有个约定65郑大逊逊逊135狂奔的无尾熊66一大只饺子136还未水蓝67用户***********一若不曾有你68用户***********夜半凉初透丶69和我副139巴萨bar70SuzzieDsoka140周俊博如果您是参与首发好评活动的魅友，可按ctrl+f 快速查找，看看是否能找到自己的名字呢【领奖】如果您找到了您的名字，请在此帖回复您的flyme账户，将按照楼层次序返款。回帖格式：我是免单获奖者 魅2班。我的flyme账户是*******@*****.**。或者 我是返1元获奖者 魅2班。我的flyme账户是*******@*****.**。【奖池还有50个名额，好评就有，欢迎更多魅友们来参与哈！】打开手机【个性化】找到“魅京京《赶集》”即可。效果如下14 分钟前 上传下载附件 (1.69 MB)</ignore_js_op>点击此处“魅京京《赶集》”魅2班更多作品魅2班新浪微博请按照格式回帖领奖 回帖格式：我是免单获奖者 魅2班。我的flyme账户是*******@*****.**。或者 我是返1元获奖者 魅2班。我的flyme账户是*******@*****.**。,http://bbs.meizu.cn/thread-5645233-1-1.html,2015-06-28
